ticker,fyear,current_ratio,quick_ratio,cash_ratio,receivables_turnover,inventory_turnover,payables_turnover,total_asset_turnover,fixed_asset_turnover,days_sales_outstanding,days_inventory_outstanding,debt_ratio,debt_to_equity,equity_multiplier,times_interest_earned,gross_margin,operating_margin,net_margin,roa
HII,2022,1.1495673671199012,,,22.556626506024095,,,1.2326836976560442,3.076746096959737,16.181497703236836,,0.9585631972538924,4.923803526448363,5.136649874055416,7.008771929824562,,0.0853541288323897,0.07435103087277001,0.09165130366078483
HII,2023,0.94853195164076,,,17.818521983161833,,,1.014054514480409,3.0210943695479777,20.48430281394372,,0.6933283146701797,3.875854813256181,5.590215675960021,5.764044943820225,,0.05386392272154557,0.057118857622847546,0.05792163543441227
HII,2024,0.9498680738786279,,,19.463992707383774,,,0.9775661569453347,3.287958115183246,18.752575871112775,,0.6350423539901917,2.536324786324786,3.993945868945869,5.53921568627451,,0.05292244286249532,0.05423379542899963,0.053017122974086624
LMT,2015,1.1088912886969042,,0.17080633549316054,,,26.35787451984635,1.2243697025319873,9.547042727846769,,,0.9082222102251255,862.7179487179487,949.8974358974359,12.871428571428572,0.09231006658141894,0.09932095771418493,0.06572159266281583,0.08046752685850024
LMT,2016,1.047061359390717,,0.1880298893519184,,,21.326277592984578,0.9252113491603937,7.878895463510848,,,0.9371856238844718,14.91992250565063,15.91992250565063,14.741176470588234,0.1172332649076253,0.12546938366795174,0.09047213738547039,0.08370584829183556
LMT,2017,1.2045925689682666,,0.11529261680752671,,,21.214832254267215,0.8348470806302132,7.411958310477235,,,0.966405890473999,30.57577763070814,31.638649900727994,10.636568848758465,0.11081507795539768,0.11624235247681074,0.08893329386224591,0.07424570075172485
LMT,2018,1.3556106249515991,,0.084411058623093,,14.554899235580264,26.851923076923075,1.0016309067417872,8.352172377251854,,25.07746663801953,1.0166452166452167,-55.76,-54.84705882352941,8.880844645550528,0.11421019242968915,0.12450835271727638,0.10938887714104462,0.10956728019825049
LMT,2019,1.1184192248923461,,0.053618558133074035,,14.838808510638298,22.532437322305505,1.09206959867098,8.39734431464829,,24.597662254238454,0.9677110259381406,31.152797704447632,32.192252510760405,10.359447004608295,0.12752201761409127,0.13498799039231385,0.039291433146517216,0.0429089796275247
LMT,2020,1.2235184655024334,,0.10835957629544804,,14.053204353083434,25.244637523757806,1.163629280117744,8.456468737711365,,25.972724143865083,0.933281434102003,14.185161496642149,15.199232491205628,10.979041916167665,0.13530002604069788,0.13641605595029946,0.09385811539749266,0.1092160512531925
LMT,2021,1.390798822938348,,0.22679968420297136,,14.362088218872138,47.61221656640444,1.2176957999959284,8.665893943784411,,25.414131596851007,0.8809307828830606,7.426766417290108,8.430590191188696,13.085758039816232,0.13988831672574065,0.1428643081655855,0.10415970039456965,0.12683482969930168
LMT,2022,1.4156604986782881,,0.2574837465171108,,17.390131780570027,68.36626506024096,1.287577645865942,8.831600270087778,,20.988915127590584,0.7845812120378197,3.6421206314444747,4.642120631444475,14.62605752961083,0.1323282057555277,0.13217529588060797,0.10448331753264625,0.13453038402094838
